unix_time,datetime,total_percent,cpu0_percent,cpu1_percent,cpu2_percent,cpu3_percent
1785055691,2026-07-26 16:48:11,1.6,0.0,2.5,2.0,1.0
1785055693,2026-07-26 16:48:13,1.8,1.5,2.5,2.0,1.0
1785055695,2026-07-26 16:48:15,1.6,0.0,3.5,2.0,1.0
1785055697,2026-07-26 16:48:17,2.3,1.0,3.0,5.0,0.0
1785055699,2026-07-26 16:48:19,1.4,0.5,3.0,1.0,1.5
1785055701,2026-07-26 16:48:21,1.9,0.5,2.5,3.0,1.0
1785055703,2026-07-26 16:48:23,1.8,0.5,2.5,3.5,0.5
1785055705,2026-07-26 16:48:25,0.6,0.5,1.5,0.5,0.0
1785055707,2026-07-26 16:48:27,1.0,0.0,1.0,1.0,1.5
1785055709,2026-07-26 16:48:29,2.4,1.0,5.0,1.0,3.0
1785055711,2026-07-26 16:48:31,1.9,1.0,3.0,0.0,3.5
1785055713,2026-07-26 16:48:33,1.0,0.0,2.0,1.0,1.0
1785055715,2026-07-26 16:48:35,0.9,0.5,2.5,0.0,1.0
1785055717,2026-07-26 16:48:37,1.8,0.0,3.0,2.0,2.0
1785055719,2026-07-26 16:48:39,1.6,1.0,2.5,0.5,2.5
1785055721,2026-07-26 16:48:41,0.5,0.0,1.0,0.0,1.0
1785055723,2026-07-26 16:48:43,1.3,0.0,2.5,1.0,1.0
1785055725,2026-07-26 16:48:45,1.6,0.5,3.5,0.5,2.0
1785055727,2026-07-26 16:48:47,0.9,1.0,1.0,0.5,1.0
1785055729,2026-07-26 16:48:49,1.0,0.5,2.5,0.0,1.0
1785055731,2026-07-26 16:48:51,1.7,1.0,2.0,0.5,3.0
1785055733,2026-07-26 16:48:53,2.3,1.5,3.5,1.0,4.0
1785055735,2026-07-26 16:48:55,2.1,0.5,4.0,1.5,2.0
1785055737,2026-07-26 16:48:57,0.9,1.0,2.0,0.0,1.5
1785055739,2026-07-26 16:48:59,1.5,1.5,1.0,1.0,2.5
1785055741,2026-07-26 16:49:01,2.8,1.5,6.0,2.0,1.5
1785055743,2026-07-26 16:49:03,1.1,0.5,1.5,1.0,1.5
1785055745,2026-07-26 16:49:05,1.2,1.5,1.5,1.5,0.5
1785055747,2026-07-26 16:49:07,2.5,1.0,4.0,3.0,0.5
1785055749,2026-07-26 16:49:09,2.0,1.5,5.0,2.0,0.5
1785055751,2026-07-26 16:49:11,0.4,0.0,1.5,0.0,0.0
1785055753,2026-07-26 16:49:13,1.0,0.0,2.0,0.5,1.0
1785055755,2026-07-26 16:49:15,1.9,1.0,4.0,0.5,2.5
1785055757,2026-07-26 16:49:17,2.3,1.0,3.5,4.5,0.5
1785055759,2026-07-26 16:49:19,1.6,0.5,2.5,2.5,0.0
1785055761,2026-07-26 16:49:21,2.4,0.5,6.0,2.0,1.5
1785055763,2026-07-26 16:49:23,1.0,0.5,1.0,0.5,1.0
1785055765,2026-07-26 16:49:25,0.5,1.0,1.0,0.0,1.0
1785055767,2026-07-26 16:49:27,2.2,1.0,3.5,2.5,2.0
1785055769,2026-07-26 16:49:29,0.6,0.0,1.5,0.0,1.0
1785055771,2026-07-26 16:49:31,0.9,0.5,1.5,0.0,1.0
1785055773,2026-07-26 16:49:33,2.0,0.0,3.0,2.0,2.5
1785055775,2026-07-26 16:49:35,1.6,0.5,3.5,3.0,0.5
1785055777,2026-07-26 16:49:37,3.3,2.0,5.5,4.5,0.5
1785055779,2026-07-26 16:49:39,0.5,0.5,1.5,1.0,0.0
1785055781,2026-07-26 16:49:41,1.1,0.5,1.0,1.5,1.5
1785055783,2026-07-26 16:49:43,2.4,2.0,4.0,3.0,0.0
1785055785,2026-07-26 16:49:45,1.9,0.5,3.0,3.0,0.5
1785055787,2026-07-26 16:49:47,1.9,1.5,2.0,3.5,1.5
1785055789,2026-07-26 16:49:49,1.9,1.0,3.5,3.5,0.5
1785055791,2026-07-26 16:49:51,2.4,0.5,6.0,3.0,0.0
1785055793,2026-07-26 16:49:53,2.3,1.0,3.0,2.5,1.5
1785055795,2026-07-26 16:49:55,1.8,1.0,3.5,2.0,0.0
1785055797,2026-07-26 16:49:57,1.5,0.5,4.0,1.0,1.5
1785055799,2026-07-26 16:49:59,0.5,0.0,1.0,0.5,0.0
1785055801,2026-07-26 16:50:01,1.0,0.5,2.0,1.5,0.0
1785055803,2026-07-26 16:50:03,2.0,1.0,4.5,0.5,1.5
1785055805,2026-07-26 16:50:05,0.6,1.5,1.0,0.0,0.5
1785055807,2026-07-26 16:50:07,0.9,1.0,1.0,0.5,1.0
1785055809,2026-07-26 16:50:09,1.8,3.5,3.0,1.0,0.0
1785055811,2026-07-26 16:50:11,2.3,2.5,5.5,0.5,0.0
1785055813,2026-07-26 16:50:13,0.9,1.0,1.0,0.5,0.5
1785055815,2026-07-26 16:50:15,0.6,0.0,1.0,1.0,0.0
1785055817,2026-07-26 16:50:17,2.1,2.5,4.0,0.5,2.0
1785055819,2026-07-26 16:50:19,1.9,4.0,2.5,1.5,0.5
1785055821,2026-07-26 16:50:21,1.9,3.0,3.0,0.5,0.5
1785055823,2026-07-26 16:50:23,3.0,4.5,5.5,1.5,0.5
1785055825,2026-07-26 16:50:25,0.6,0.5,1.0,0.5,0.5
1785055827,2026-07-26 16:50:27,0.9,1.5,1.0,0.0,0.5
1785055829,2026-07-26 16:50:29,2.1,4.0,1.5,2.5,1.0
1785055831,2026-07-26 16:50:31,3.6,3.0,1.5,6.5,3.0
1785055833,2026-07-26 16:50:33,0.8,0.0,1.0,2.0,0.0
1785055835,2026-07-26 16:50:35,1.0,1.0,1.0,2.0,0.0
1785055837,2026-07-26 16:50:37,3.0,1.0,4.0,3.5,3.5
1785055839,2026-07-26 16:50:39,1.8,0.5,3.5,2.5,0.0
1785055841,2026-07-26 16:50:41,2.1,2.5,4.0,2.5,0.5
1785055843,2026-07-26 16:50:43,1.1,1.0,2.0,1.0,1.0
1785055845,2026-07-26 16:50:45,1.0,2.5,1.0,0.0,0.5
1785055847,2026-07-26 16:50:47,2.2,4.0,2.5,1.0,0.5
1785055849,2026-07-26 16:50:49,1.7,1.0,4.0,1.0,1.0
1785055851,2026-07-26 16:50:51,1.8,0.5,4.0,2.5,0.0
1785055853,2026-07-26 16:50:53,0.8,1.5,1.0,0.0,0.5
1785055855,2026-07-26 16:50:55,1.1,2.0,1.5,1.0,0.0
1785055857,2026-07-26 16:50:57,2.8,2.0,4.5,2.5,1.5
1785055859,2026-07-26 16:50:59,1.7,1.5,3.0,2.0,1.0
1785055861,2026-07-26 16:51:01,1.9,3.0,3.5,0.5,0.0
1785055863,2026-07-26 16:51:03,2.3,2.5,5.0,0.5,1.5
1785055865,2026-07-26 16:51:05,1.8,3.0,3.0,1.0,0.0
1785055867,2026-07-26 16:51:07,0.9,1.0,1.0,0.0,1.5
1785055869,2026-07-26 16:51:09,0.8,1.0,1.5,0.5,0.5
1785055871,2026-07-26 16:51:11,1.8,1.5,3.0,2.0,0.5
1785055873,2026-07-26 16:51:13,1.5,0.5,2.0,1.5,1.0
1785055875,2026-07-26 16:51:15,0.6,1.5,1.5,0.5,1.0
1785055877,2026-07-26 16:51:17,2.4,3.0,4.0,0.5,0.5
1785055879,2026-07-26 16:51:19,2.4,3.5,4.0,0.5,1.0
1785055881,2026-07-26 16:51:21,2.6,3.5,3.5,2.0,1.0
1785055883,2026-07-26 16:51:23,3.1,1.0,6.0,5.0,1.0
1785055885,2026-07-26 16:51:25,2.6,2.0,3.0,2.5,3.5
1785055887,2026-07-26 16:51:27,1.3,0.5,2.5,1.0,1.0
1785055889,2026-07-26 16:51:29,1.0,0.0,2.0,1.0,2.5
1785055891,2026-07-26 16:51:31,2.1,0.5,0.5,0.5,5.5
1785055893,2026-07-26 16:51:33,3.0,3.6,1.5,3.5,4.0
1785055895,2026-07-26 16:51:35,1.7,3.0,1.0,0.5,2.5
1785055897,2026-07-26 16:51:37,2.9,2.0,2.5,1.0,5.0
1785055899,2026-07-26 16:51:39,1.8,3.5,0.5,0.5,2.0
1785055901,2026-07-26 16:51:41,3.8,2.0,1.5,2.0,10.0
1785055903,2026-07-26 16:51:43,2.4,3.0,2.5,1.5,3.5
1785055905,2026-07-26 16:51:45,1.0,0.5,0.5,0.0,2.0
1785055907,2026-07-26 16:51:47,2.9,2.5,2.5,1.5,5.0
1785055909,2026-07-26 16:51:49,3.8,2.5,2.0,2.0,8.5
1785055911,2026-07-26 16:51:51,1.4,2.0,0.5,1.5,2.0
1785055913,2026-07-26 16:51:53,1.3,1.5,0.5,1.5,2.0
1785055915,2026-07-26 16:51:55,2.3,0.5,2.0,1.5,4.5
1785055917,2026-07-26 16:51:57,3.6,1.5,3.5,2.0,7.5
1785055919,2026-07-26 16:51:59,2.8,1.0,2.5,1.5,6.0
1785055921,2026-07-26 16:52:01,3.0,4.5,1.0,2.0,4.1
1785055923,2026-07-26 16:52:03,1.9,1.5,1.0,1.0,4.5
1785055925,2026-07-26 16:52:05,1.1,0.5,1.0,1.0,2.0
1785055927,2026-07-26 16:52:07,2.0,1.0,2.5,1.0,3.5
1785055929,2026-07-26 16:52:09,3.4,2.0,1.0,1.5,8.5
1785055931,2026-07-26 16:52:11,40.4,38.2,38.5,45.7,40.0
1785055933,2026-07-26 16:52:13,100.0,100.0,100.0,100.0,100.0
1785055935,2026-07-26 16:52:15,100.0,100.0,100.0,100.0,100.0
1785055937,2026-07-26 16:52:17,100.0,100.0,100.0,100.0,100.0
1785055939,2026-07-26 16:52:19,100.0,100.0,100.0,100.0,100.0
1785055941,2026-07-26 16:52:21,100.0,100.0,100.0,100.0,100.0
1785055943,2026-07-26 16:52:23,100.0,100.0,100.0,100.0,100.0
1785055945,2026-07-26 16:52:25,100.0,100.0,100.0,100.0,100.0
1785055947,2026-07-26 16:52:27,100.0,100.0,100.0,100.0,100.0
1785055949,2026-07-26 16:52:29,100.0,100.0,100.0,100.0,100.0
1785055951,2026-07-26 16:52:31,100.0,100.0,100.0,100.0,100.0
1785055953,2026-07-26 16:52:33,100.0,100.0,100.0,100.0,100.0
