timestamp,elapsed_s,cpu_usage_percent,max_temp_c,avg_frequency_mhz,memory_usage_percent
2026-07-27 20:08:21,1,11.6,45.3,2040.0,34.4
2026-07-27 20:08:22,3,1.8,44.4,1626.0,34.4
2026-07-27 20:08:23,4,8.0,44.4,1626.0,34.4
2026-07-27 20:08:24,5,2.2,44.4,1152.0,34.4
2026-07-27 20:08:25,6,3.3,45.3,1152.0,34.4
2026-07-27 20:08:26,7,2.1,45.3,1578.0,34.4
2026-07-27 20:08:28,9,1.8,44.4,1152.0,34.4
2026-07-27 20:08:29,10,3.0,45.3,1104.0,34.4
2026-07-27 20:08:30,11,2.5,44.4,1152.0,34.4
2026-07-27 20:08:31,12,2.9,45.3,1578.0,34.4
2026-07-27 20:08:33,14,2.0,44.4,1152.0,34.4
2026-07-27 20:08:34,15,3.2,44.4,1104.0,34.4
2026-07-27 20:08:35,16,2.7,45.3,1614.0,34.4
2026-07-27 20:08:36,17,2.2,44.4,1200.0,34.4
2026-07-27 20:08:37,18,3.0,44.4,1200.0,34.4
2026-07-27 20:08:39,20,2.0,44.4,1104.0,34.4
2026-07-27 20:08:40,21,3.4,45.3,1152.0,34.4
2026-07-27 20:08:41,22,4.5,44.4,1614.0,34.4
2026-07-27 20:08:42,23,3.4,45.3,1104.0,34.4
2026-07-27 20:08:44,24,3.2,45.3,1152.0,34.4
2026-07-27 20:08:45,26,2.7,45.3,1200.0,34.5
2026-07-27 20:08:46,27,5.1,44.4,1614.0,34.5
2026-07-27 20:08:47,28,2.2,44.4,1566.0,34.5
2026-07-27 20:08:48,29,1.9,45.3,1104.0,34.5
2026-07-27 20:08:49,30,9.9,45.3,2040.0,34.5
2026-07-27 20:08:51,32,2.5,44.4,552.0,34.6
2026-07-27 20:08:52,33,3.1,45.3,1614.0,34.6
2026-07-27 20:08:53,34,10.1,46.2,1578.0,34.5
2026-07-27 20:08:54,35,1.8,45.3,1626.0,34.5
2026-07-27 20:08:55,36,6.2,45.3,1566.0,34.5
2026-07-27 20:08:56,37,1.7,45.3,1614.0,34.5
2026-07-27 20:08:58,39,1.7,45.3,1152.0,34.5
2026-07-27 20:08:59,40,3.2,45.3,1566.0,34.5
2026-07-27 20:09:00,41,1.9,45.3,2040.0,34.5
2026-07-27 20:09:01,42,6.1,45.3,2040.0,34.5
2026-07-27 20:09:02,43,1.6,44.4,1104.0,34.5
2026-07-27 20:09:04,44,2.8,45.3,1626.0,34.5
2026-07-27 20:09:05,46,1.9,44.4,1200.0,34.5
2026-07-27 20:09:06,47,3.0,45.3,1152.0,34.5
2026-07-27 20:09:07,48,2.6,45.3,1104.0,34.5
2026-07-27 20:09:08,49,3.2,45.3,1152.0,34.5
2026-07-27 20:09:10,51,2.2,45.3,1152.0,34.5
2026-07-27 20:09:11,52,3.7,45.3,1614.0,34.6
2026-07-27 20:09:12,53,1.8,45.3,1104.0,34.5
