timestamp,elapsed_s,cpu_usage_percent,max_temp_c,avg_frequency_mhz,memory_usage_percent
2026-07-27 19:15:10,1,0.2,38.8,1626.0,25.4
2026-07-27 19:15:11,2,4.5,39.8,2040.0,25.4
2026-07-27 19:15:12,3,1.6,39.8,1614.0,25.3
2026-07-27 19:15:13,4,2.2,38.8,1566.0,25.3
2026-07-27 19:15:14,5,4.5,39.8,1566.0,25.3
2026-07-27 19:15:16,6,2.6,38.8,1104.0,25.3
2026-07-27 19:15:17,8,4.6,39.8,1614.0,25.3
2026-07-27 19:15:18,9,2.0,39.8,1566.0,25.2
2026-07-27 19:15:19,10,4.0,40.7,1626.0,25.3
2026-07-27 19:15:20,11,8.8,40.7,1614.0,25.3
2026-07-27 19:15:21,12,2.6,40.7,1566.0,25.3
2026-07-27 19:15:23,13,2.2,39.8,1104.0,25.3
2026-07-27 19:15:24,15,4.6,39.8,2040.0,25.3
2026-07-27 19:15:25,16,1.8,39.8,1104.0,25.3
2026-07-27 19:15:26,17,4.1,39.8,2040.0,25.3
2026-07-27 19:15:27,18,1.1,40.7,1578.0,25.3
2026-07-27 19:15:28,19,2.8,39.8,1614.0,25.3
2026-07-27 19:15:30,21,2.3,38.8,1200.0,25.3
2026-07-27 19:15:31,22,3.5,39.8,1566.0,25.3
2026-07-27 19:15:32,23,1.7,39.8,1566.0,25.3
2026-07-27 19:15:33,24,2.6,39.8,1578.0,25.3
2026-07-27 19:15:34,25,6.1,40.7,1614.0,25.3
2026-07-27 19:15:35,26,8.0,40.7,1566.0,25.2
2026-07-27 19:15:37,28,2.3,39.8,1578.0,25.3
2026-07-27 19:15:38,29,2.1,40.7,1566.0,25.3
2026-07-27 19:15:39,30,2.2,40.7,1578.0,25.3
2026-07-27 19:15:40,31,3.2,39.8,1614.0,25.3
2026-07-27 19:15:41,32,1.8,39.8,1566.0,25.3
2026-07-27 19:15:42,33,2.1,39.8,1152.0,25.3
2026-07-27 19:15:43,34,3.6,39.8,2040.0,25.3
2026-07-27 19:15:45,36,1.4,39.8,2040.0,25.3
2026-07-27 19:15:46,37,2.9,39.8,1626.0,25.3
2026-07-27 19:15:47,38,3.2,40.7,1614.0,25.3
2026-07-27 19:15:48,39,2.3,39.8,1566.0,25.3
2026-07-27 19:15:49,40,4.3,40.7,1626.0,25.3
2026-07-27 19:15:50,41,5.9,40.7,1614.0,25.3
2026-07-27 19:15:51,42,2.6,39.8,1104.0,25.3
2026-07-27 19:15:53,44,2.9,40.7,2040.0,25.3
2026-07-27 19:15:54,45,1.4,39.8,1614.0,25.3
2026-07-27 19:15:55,46,3.5,39.8,1614.0,25.3
2026-07-27 19:15:56,47,2.9,39.8,1626.0,25.3
2026-07-27 19:15:57,48,2.9,40.7,2040.0,25.3
2026-07-27 19:15:58,49,1.4,39.8,1566.0,25.3
2026-07-27 19:16:00,51,2.0,38.8,552.0,25.3
2026-07-27 19:16:01,52,4.2,39.8,1566.0,25.3
2026-07-27 19:16:02,53,2.4,39.8,1578.0,25.3
2026-07-27 19:16:03,54,2.5,39.8,1626.0,25.3
2026-07-27 19:16:04,55,5.8,40.7,1614.0,25.3
2026-07-27 19:16:05,56,5.8,40.7,1578.0,25.3
2026-07-27 19:16:07,58,3.2,40.7,1614.0,25.3
2026-07-27 19:16:08,59,1.7,39.8,1566.0,25.3
2026-07-27 19:16:09,60,2.6,39.8,1626.0,25.3
2026-07-27 19:16:10,61,3.2,39.8,1566.0,25.3
2026-07-27 19:16:11,62,1.5,39.8,1614.0,25.2
2026-07-27 19:16:12,63,2.2,39.8,1104.0,25.3
2026-07-27 19:16:14,65,4.1,39.8,1614.0,25.3
2026-07-27 19:16:15,66,2.0,39.8,1566.0,25.3
2026-07-27 19:16:16,67,2.0,40.7,1626.0,25.2
2026-07-27 19:16:17,68,2.1,39.8,1152.0,25.3
2026-07-27 19:16:18,69,3.3,39.8,1578.0,25.3
2026-07-27 19:16:19,70,4.8,40.7,2040.0,25.3
2026-07-27 19:16:20,71,4.1,40.7,1626.0,25.3
2026-07-27 19:16:22,73,2.0,39.8,1626.0,25.3
2026-07-27 19:16:23,74,3.2,39.8,1578.0,25.3
2026-07-27 19:16:24,75,2.2,39.8,1626.0,25.3
2026-07-27 19:16:25,76,1.9,39.8,1152.0,25.3
2026-07-27 19:16:26,77,3.4,39.8,1626.0,25.3
2026-07-27 19:16:27,78,2.2,39.8,1152.0,25.3
2026-07-27 19:16:29,80,4.3,40.7,1626.0,25.3
2026-07-27 19:16:30,81,1.7,40.7,1578.0,25.3
2026-07-27 19:16:31,82,2.6,39.8,1614.0,25.3
2026-07-27 19:16:32,83,2.9,39.8,1578.0,25.3
2026-07-27 19:16:33,84,2.3,39.8,1578.0,25.3
2026-07-27 19:16:34,85,8.2,40.7,1626.0,25.3
2026-07-27 19:16:35,86,5.1,40.7,2040.0,25.3
2026-07-27 19:16:37,88,2.4,39.8,1578.0,25.3
2026-07-27 19:16:38,89,1.9,40.7,2040.0,25.3
2026-07-27 19:16:39,90,1.9,39.8,1152.0,25.3
2026-07-27 19:16:40,91,4.2,39.8,1578.0,25.3
2026-07-27 19:16:41,92,2.2,39.8,1626.0,25.3
2026-07-27 19:16:42,93,1.7,39.8,1578.0,25.3
