unix_time,datetime,temp_c,arm_clock_hz,throttled
1785055580,2026-07-26 16:46:20,46.2,600169920,0x0
1785055582,2026-07-26 16:46:22,46.2,1800404352,0x0
1785055584,2026-07-26 16:46:24,47.2,1800457088,0x0
1785055587,2026-07-26 16:46:27,46.2,600117184,0x0
1785055589,2026-07-26 16:46:29,46.7,600117184,0x0
1785055591,2026-07-26 16:46:31,46.7,1800457088,0x0
1785055593,2026-07-26 16:46:33,46.7,1800404352,0x0
1785055595,2026-07-26 16:46:35,46.2,600169920,0x0
1785055597,2026-07-26 16:46:37,45.7,900228544,0x0
1785055599,2026-07-26 16:46:39,45.7,600169920,0x0
1785055601,2026-07-26 16:46:41,45.2,600169920,0x0
1785055603,2026-07-26 16:46:43,46.7,1800404352,0x0
1785055605,2026-07-26 16:46:45,46.2,1800404352,0x0
1785055607,2026-07-26 16:46:47,46.2,700154304,0x0
1785055609,2026-07-26 16:46:49,46.2,900175808,0x0
1785055611,2026-07-26 16:46:51,50.6,1800457088,0x0
1785055613,2026-07-26 16:46:53,54.5,1800404352,0x0
1785055615,2026-07-26 16:46:55,56.9,1800457088,0x0
1785055617,2026-07-26 16:46:57,57.9,1800404352,0x0
1785055619,2026-07-26 16:46:59,60.8,1800457088,0x0
1785055621,2026-07-26 16:47:01,61.3,1800457088,0x0
1785055623,2026-07-26 16:47:03,61.3,1800457088,0x0
1785055625,2026-07-26 16:47:05,62.8,1800404352,0x0
1785055627,2026-07-26 16:47:07,64.2,1800404352,0x0
1785055629,2026-07-26 16:47:09,63.7,1800457088,0x0
1785055631,2026-07-26 16:47:11,65.2,1800457088,0x0
1785055633,2026-07-26 16:47:13,66.2,1800457088,0x0
1785055635,2026-07-26 16:47:15,66.2,1800404352,0x0
1785055637,2026-07-26 16:47:17,65.7,1800404352,0x0
1785055639,2026-07-26 16:47:19,66.7,1800457088,0x0
1785055641,2026-07-26 16:47:21,67.6,1800457088,0x0
1785055643,2026-07-26 16:47:23,67.6,1800457088,0x0
1785055646,2026-07-26 16:47:26,67.6,1800404352,0x0
1785055648,2026-07-26 16:47:28,69.1,1800457088,0x0
1785055650,2026-07-26 16:47:30,68.6,1800457088,0x0
1785055652,2026-07-26 16:47:32,69.6,1800457088,0x0
1785055654,2026-07-26 16:47:34,70.1,1800404352,0x0
